Player,Team,Year,Int,TD,Solo,Ast,Tot,Sack,Stat Type
Lamarcus Joyner,FSU,2011,4,0,38,16,54,1.0,Defense
Luke Wollet,KENT,2011,4,0,28,37,65,0.0,Defense
Sean Parker,WASH,2011,4,0,47,44,91,0.0,Defense
Jahleel Addae,CMU,2011,4,0,51,56,107,0.0,Defense
Johnthan Banks,MSST,2011,4,1,46,25,71,3.0,Defense
Khalid Wooten,NEV,2011,4,0,65,8,73,0.0,Defense
Andrew Abbott,UCLA,2011,4,0,37,7,44,0.0,Defense
Damon Magazu,ECU,2011,4,0,36,44,80,0.0,Defense
Trenton Robinson,MSU,2011,4,0,48,32,80,0.0,Defense
Milton Howell,TULS,2011,4,0,41,9,50,0.0,Defense
Clint Floyd,AZST,2011,4,0,54,15,69,0.0,Defense
Rashad Jackson,MRSH,2011,4,0,27,14,41,0.0,Defense
James Thomas,OKST,2011,4,0,20,7,27,3.0,Defense
Aaron Henry,WISC,2011,4,0,44,23,67,1.0,Defense
James Orth,SJSU,2011,4,0,44,34,78,0.0,Defense
Nickoe Whitley,MSST,2011,4,0,28,6,34,0.0,Defense
K.J. Morton,BAY,2011,4,0,61,14,75,0.0,Defense
Omar Brown,MRSH,2011,4,1,71,42,113,0.0,Defense
Kelcie McCray,ARST,2011,4,0,34,36,70,0.0,Defense
Jordan Poyer,ORST,2011,4,1,35,22,57,0.0,Defense
Shawn Williams,UGA,2011,4,0,48,24,72,0.0,Defense
Ryan Travis,TULN,2011,4,1,39,20,59,0.0,Defense
Keith Tandy,WVU,2011,4,0,50,14,64,0.0,Defense
Shaquille Richardson,ARIZ,2011,4,1,40,7,47,0.0,Defense
Danny Trevathan,KY,2011,4,0,67,76,143,3.0,Defense
Damante Horton,WSU,2011,4,1,21,10,31,0.0,Defense
Travis Carrie,OHIO,2011,4,0,35,14,49,0.0,Defense
Blair Burns,WYO,2011,4,0,35,13,48,0.0,Defense
Isaiah Lewis,MSU,2011,4,2,34,40,74,0.0,Defense
Jay Dudley,LT,2011,4,2,55,47,102,0.0,Defense
Charles Sawyer,MISS,2011,4,1,45,25,70,0.0,Defense
Deron Wilson,USM,2011,4,2,48,27,75,0.0,Defense
Conroy Black,UTAH,2011,4,1,20,19,39,0.0,Defense
Brandon Boykin,UGA,2011,3,0,35,20,55,0.0,Defense
Darron Edwards,ARST,2011,3,0,29,20,49,0.5,Defense
Kenji Jackson,MIZZ,2011,3,0,48,28,76,1.0,Defense
Kevin Kroboth,TEM,2011,3,0,55,21,76,0.0,Defense
Dexter McDougle,MD,2011,3,0,29,15,44,0.0,Defense
Sidney Saulter,KENT,2011,3,0,29,14,43,0.0,Defense
D.J. Swearinger,SCAR,2011,3,0,58,22,80,0.0,Defense
L.J. Jones,FRES,2011,3,0,44,12,56,0.0,Defense
Nick Saenz,HOU,2011,3,0,35,21,56,0.0,Defense
Stephon Gilmore,SCAR,2011,3,0,35,11,46,1.0,Defense
Jerrell Gavins,BSU,2011,3,0,9,2,11,0.0,Defense
Isaiah Newsome,ULM,2011,3,0,41,21,62,1.0,Defense
Marqueston Huff,WYO,2011,3,0,27,20,47,0.0,Defense
Dayonne Nunley,MIOH,2011,3,0,45,13,58,0.0,Defense
John Hardy-Tuliau,HAW,2011,3,0,58,15,73,1.0,Defense
Peyton Thompson,SJSU,2011,3,0,34,17,51,1.0,Defense
Terrell Manning,NCST,2011,3,0,46,30,76,5.5,Defense
Jemea Thomas,GT,2011,3,0,33,17,50,2.0,Defense
Desmond Marrow,TOL,2011,3,0,51,32,83,0.0,Defense
Travis Uale,BYU,2011,3,0,34,15,49,0.0,Defense
Tysyn Hartman,KSST,2011,3,0,35,34,69,0.0,Defense
C.C. Whitlock,SCAR,2011,3,0,12,4,16,0.0,Defense
Aaron Brown,HAW,2011,3,0,70,33,103,4.5,Defense
Tashaun Gipson,WYO,2011,3,0,72,23,95,0.5,Defense
Dexter Heyman,LOU,2011,3,0,56,34,90,4.5,Defense
Nick Sukay,PSU,2011,3,0,30,36,66,0.0,Defense
Tre Boston,UNC,2011,3,0,48,22,70,0.0,Defense
Orhian Johnson,OSU,2011,3,0,21,11,32,0.0,Defense
Zach Brown,UNC,2011,3,0,62,43,105,5.5,Defense
Justin Gildea,TEM,2011,3,0,31,20,51,3.0,Defense
Chad Boyd,LT,2011,3,0,40,36,76,0.0,Defense
Justin Halley,FIU,2011,3,0,18,8,26,0.0,Defense
Derrick Mathews,HOU,2011,3,1,55,51,106,1.0,Defense
David Rowe,RUT,2011,3,0,24,35,59,0.5,Defense
Sean Westgate,UCLA,2011,3,0,21,25,46,0.0,Defense
Deone Bucannon,WSU,2011,3,0,60,20,80,0.0,Defense
Kee-ayre Griffin,TEM,2011,3,0,36,13,49,1.0,Defense
Mo Lee,UTAH,2011,3,0,17,12,29,0.0,Defense
Phillip Thomas,FRES,2012,8,3,66,18,84,4.0,Defense
Manti Te'o,ND,2012,7,0,55,58,113,1.5,Defense
Jordan Poyer,ORST,2012,7,1,34,17,51,2.0,Defense
Bene Benwikere,SJSU,2012,7,1,44,23,67,0.0,Defense
Jason Verrett,TCU,2012,6,0,46,17,63,0.0,Defense
Jason Hendricks,PITT,2012,6,0,59,31,90,0.0,Defense
Javon Harris,OKLA,2012,6,1,58,28,86,0.0,Defense
Jonathan Dowling,WKU,2012,6,1,40,28,68,0.0,Defense
Derron Smith,FRES,2012,6,1,61,18,79,0.0,Defense
Ed Reynolds,STAN,2012,6,3,28,19,47,0.0,Defense
Najja Johnson,BUFF,2012,5,0,27,16,43,0.0,Defense
Zachary McMillian,HOU,2012,5,0,29,22,51,0.0,Defense
Brandon Jones,RUT,2012,5,1,17,14,31,0.0,Defense
Dexter McCoil,TULS,2012,5,0,59,32,91,0.0,Defense
Keelan Johnson,AZST,2012,5,0,65,23,88,0.0,Defense
Antone Exum,VT,2012,5,0,35,13,48,0.0,Defense
Ross Cockrell,DUKE,2012,5,1,47,24,71,1.0,Defense
Allen Chapman,KSST,2012,5,1,44,13,57,0.0,Defense
Ty Zimmerman,KSST,2012,5,0,39,11,50,0.0,Defense
Erick Dargan,ORE,2012,5,0,33,21,54,0.0,Defense
David Amerson,NCST,2012,5,1,48,13,61,0.0,Defense
Byron Moore,TENN,2012,5,1,48,38,86,0.0,Defense
Ha Ha Clinton-Dix,ALA,2012,5,0,23,14,37,0.0,Defense
Will Davis,USU,2012,5,1,46,18,64,0.0,Defense
Darius Slay,MSST,2012,5,1,26,14,40,0.0,Defense
Nigel Malone,KSST,2012,5,0,44,7,51,0.0,Defense
Sean Alston,FRES,2012,5,0,42,8,50,1.0,Defense
Craig Mager,TXST,2012,4,0,40,8,48,0.0,Defense
K'Waun Williams,PITT,2012,4,0,35,12,47,0.0,Defense
Jemea Thomas,GT,2012,4,0,61,25,86,0.0,Defense
Dion Bailey,USC,2012,4,0,48,32,80,1.0,Defense
Erik Brown,UTSA,2012,4,0,23,14,37,0.0,Defense
Sheldon Price,UCLA,2012,4,0,30,7,37,0.0,Defense
Jelani Woseley,OHIO,2012,4,0,29,30,59,1.5,Defense
Jemarlous Moten,ULL,2012,4,0,50,15,65,0.0,Defense
Quandre Diggs,TEX,2012,4,0,38,14,52,1.0,Defense
Darryl Morris,TXST,2012,4,0,46,15,61,0.0,Defense
Luke Wollet,KENT,2012,4,0,66,53,119,1.0,Defense
Rashard Hall,CLEM,2012,4,0,51,29,80,0.0,Defense
Logan Ryan,RUT,2012,4,0,59,35,94,0.0,Defense
Jude Adjei-Barimah,BGSU,2012,4,0,21,9,30,0.0,Defense
Andrew Abbott,UCLA,2012,4,0,53,6,59,0.0,Defense
Aaron Colvin,OKLA,2012,4,0,47,14,61,2.0,Defense
Daimion Stafford,NEB,2012,4,0,51,45,96,1.0,Defense
Deone Bucannon,WSU,2012,4,0,65,41,106,1.0,Defense
Tre Boston,UNC,2012,4,1,49,37,86,0.0,Defense
Landon Feichter,PUR,2012,4,1,54,26,80,0.0,Defense
Tharold Simon,LSU,2012,4,0,35,10,45,0.0,Defense
Jahleel Addae,CMU,2012,4,0,40,49,89,2.0,Defense
Tim Scott,UNC,2012,4,1,36,12,48,0.0,Defense
Travis Howard,OSU,2012,4,0,25,14,39,0.0,Defense
Robert Lester,ALA,2012,4,0,24,24,48,1.5,Defense
Rodney Gillis,ULL,2012,4,0,46,29,75,0.0,Defense
Ifo Ekpre-Olomu,ORE,2012,4,1,44,19,63,0.0,Defense
Jamar Taylor,BSU,2012,4,0,31,20,51,2.5,Defense
Triston Wade,UTSA,2012,4,1,45,29,74,0.0,Defense
Bennett Jackson,ND,2012,4,0,45,20,65,0.0,Defense
Michael Carter,MINN,2012,4,1,34,15,49,0.0,Defense
Damian Swann,UGA,2012,4,0,34,19,53,2.0,Defense
Kiko Alonso,ORE,2012,4,0,58,23,81,1.0,Defense
Devin Smith,WISC,2012,4,0,35,22,57,1.0,Defense
Matt Elam,FLA,2012,4,0,58,18,76,2.0,Defense
Lorenzo Doss,TULN,2012,4,0,33,11,44,0.0,Defense
Cortney Lester,BUFF,2012,4,1,22,17,39,0.0,Defense
Tyrell Pearson,USA,2012,4,0,21,19,40,0.0,Defense
Elisha Olabode,TCU,2012,4,2,48,23,71,0.0,Defense
Eddie Lackey,BAY,2012,4,2,71,33,104,2.0,Defense
Nathan Herrold,ARST,2012,4,0,48,66,114,2.0,Defense
Johnthan Banks,MSST,2012,4,0,39,24,63,0.0,Defense
Jermaine Robinson,TOL,2012,4,2,32,38,70,0.5,Defense
Kevin Byard,MTSU,2012,4,2,48,26,74,0.0,Defense
D.J. Hayden,HOU,2012,4,2,38,23,61,0.0,Defense
Sanders Commings,UGA,2012,3,0,42,9,51,0.0,Defense
Kameron Jackson,CAL,2012,3,0,19,8,27,0.0,Defense
Joe Williams,BAY,2012,3,0,41,11,52,0.0,Defense
Steve Williams,CAL,2012,3,0,56,24,80,0.0,Defense
Justin Glenn,WASH,2012,3,0,47,29,76,0.0,Defense
Kevin Johnson,WF,2012,3,0,34,24,58,0.5,Defense
Dayonne Nunley,MIOH,2012,3,0,42,21,63,0.0,Defense
Brison Burris,MIOH,2012,3,0,42,39,81,0.0,Defense
Destry Berry,UNM,2012,3,0,34,13,47,1.0,Defense
DaCorris Ford,ULM,2012,3,0,34,17,51,3.0,Defense
Johnny Adams,MSU,2012,3,0,23,12,35,1.0,Defense
Josh Evans,FLA,2012,3,0,49,34,83,2.5,Defense
Jordan Richards,STAN,2012,3,0,44,24,68,1.0,Defense
Matt Warrick,NAVY,2012,3,1,48,45,93,0.0,Defense
Lonnie Ballentine,MEM,2012,3,0,40,26,66,0.5,Defense
Brandan Bishop,NCST,2012,3,0,71,32,103,0.0,Defense
Xavier Rhodes,FSU,2012,3,0,27,12,39,0.0,Defense
Solomon Dixon,IDHO,2012,3,0,27,9,36,0.0,Defense
Marquis Flowers,ARIZ,2012,3,0,57,43,100,5.5,Defense
Darian Thompson,BSU,2012,3,0,28,15,43,0.0,Defense
Sam Holl,BAY,2012,3,0,62,23,85,0.0,Defense
Arryn Chenault,CINN,2012,3,0,32,17,49,0.0,Defense
Randall Joyner,SMU,2012,3,0,52,41,93,0.0,Defense
Spenser Rositano,BC,2012,3,0,33,23,56,0.0,Defense
DeVonte Holloman,SCAR,2012,3,0,37,20,57,2.0,Defense
Cam Thomas,WKU,2012,3,0,34,9,43,0.0,Defense
Kyler Fackrell,USU,2012,3,0,28,59,87,3.0,Defense
Jacques Washington,IAST,2012,3,0,53,37,90,0.0,Defense
