Player,Team,Year,Rec,Yds,Avg,TD,Stat Type
Chris Givens,MIOH,2011,60,695,11.58,5,Receiving
Jared Karstetter,WSU,2011,60,700,11.67,6,Receiving
Danny Coale,VT,2011,60,904,15.07,3,Receiving
Terrance Williams,BAY,2011,59,957,16.22,11,Receiving
Taveon Rogers,NMST,2011,59,"1,048",17.76,9,Receiving
Jackie Williams,UAB,2011,58,607,10.47,0,Receiving
Kelvin Bolden,USM,2011,58,671,11.57,7,Receiving
Harry Peoples,ULL,2011,58,697,12.02,1,Receiving
Colin Lockett,SDSU,2011,58,970,16.72,8,Receiving
Marquis Maze,ALA,2011,56,627,11.2,1,Receiving
Devon Wylie,FRES,2011,56,716,12.79,1,Receiving
Griff Whalen,STAN,2011,56,749,13.38,4,Receiving
Mike Scott,IDHO,2011,55,691,12.56,2,Receiving
Jared Abbrederis,WISC,2011,55,933,16.96,8,Receiving
Taulib Ikharo,LT,2011,54,537,9.94,4,Receiving
Wayne Times,FIU,2011,54,540,10.0,2,Receiving
T.J. Moe,MIZZ,2011,54,649,12.02,4,Receiving
Joe Adams,ARK,2011,54,652,12.07,3,Receiving
Josh Jarboe,ARST,2011,54,730,13.52,2,Receiving
Bryan Burnham,TULS,2011,54,850,15.74,9,Receiving
Devin Street,PITT,2011,53,754,14.23,2,Receiving
Rueben Randle,LSU,2011,53,917,17.3,8,Receiving
Marqise Lee,USC,2012,118,"1,721",14.58,14,Receiving
Tavon Austin,WVU,2012,114,"1,289",11.31,12,Receiving
Stedman Bailey,WVU,2012,114,"1,622",14.23,25,Receiving
Tommy Shuler,MRSH,2012,110,"1,138",10.35,6,Receiving
Brent Leonard,ULM,2012,104,"1,118",10.75,10,Receiving
Quinton Patton,LT,2012,104,"1,392",13.38,13,Receiving
J.D. McKissic,ARST,2012,103,"1,022",9.92,5,Receiving
Davante Adams,FRES,2012,102,"1,312",12.86,14,Receiving
Josh Stewart,OKST,2012,101,"1,210",11.98,7,Receiving
Cody Hoffman,BYU,2012,100,"1,248",12.48,11,Receiving
Terrance Williams,BAY,2012,97,"1,832",18.89,12,Receiving
Jordan Matthews,VAN,2012,94,"1,323",14.07,8,Receiving
Darrin Moore,TTU,2012,92,"1,032",11.22,13,Receiving
Markus Wheaton,ORST,2012,91,"1,244",13.67,11,Receiving
Cobi Hamilton,ARK,2012,90,"1,335",14.83,5,Receiving
Willie Snead,BALL,2012,89,"1,148",12.9,9,Receiving
Justin Hardy,ECU,2012,88,"1,105",12.56,11,Receiving
Bernard Reedy,TOL,2012,88,"1,113",12.65,6,Receiving
Conner Vernon,DUKE,2012,85,"1,074",12.64,8,Receiving
Kenny Stills,OKLA,2012,82,959,11.7,11,Receiving
Eric Ward,TTU,2012,82,"1,053",12.84,12,Receiving
Mike Evans,TAMU,2012,82,"1,105",13.48,5,Receiving
Noel Grigsby,SJSU,2012,82,"1,307",15.94,9,Receiving
DeAndre Hopkins,CLEM,2012,82,"1,405",17.13,18,Receiving
Austin Hill,ARIZ,2012,81,"1,364",16.84,11,Receiving
Michael Campanaro,WF,2012,79,763,9.66,6,Receiving
Alex Amidon,BC,2012,78,"1,210",15.51,7,Receiving
Kasen Williams,WASH,2012,77,878,11.4,6,Receiving
Allen Robinson,PSU,2012,77,"1,018",13.22,11,Receiving
Marquelo Suel,AKR,2012,76,820,10.79,5,Receiving
Jamison Crowder,DUKE,2012,76,"1,074",14.13,8,Receiving
Ryan Grant,TULN,2012,76,"1,149",15.12,6,Receiving
Martel Moore,NIU,2012,75,"1,083",14.44,13,Receiving
Andy Cruse,MIOH,2012,74,681,9.2,6,Receiving
Cody Wilson,CMU,2012,74,845,11.42,3,Receiving
Robert Woods,USC,2012,74,849,11.47,11,Receiving
Austin Franklin,NMST,2012,74,"1,245",16.82,9,Receiving
Justin Brown,OKLA,2012,73,879,12.04,5,Receiving
Devin Street,PITT,2012,73,975,13.36,5,Receiving
Justin Hunter,TENN,2012,73,"1,083",14.84,9,Receiving
Ryan Swope,TAMU,2012,72,913,12.68,8,Receiving
Anthony Amos,MTSU,2012,72,992,13.78,9,Receiving
Alec Lemon,SYR,2012,72,"1,070",14.86,7,Receiving
Brandon Wimberly,NEV,2012,70,845,12.07,4,Receiving
Jamill Smith,BALL,2012,69,706,10.23,6,Receiving
Antavious Wilson,MRSH,2012,69,741,10.74,9,Receiving
Austin Seferian-Jenkins,WASH,2012,69,852,12.35,7,Receiving
Zach Ertz,STAN,2012,69,898,13.01,6,Receiving
Shane Wynn,IND,2012,68,660,9.71,6,Receiving
Nick Harwell,MIOH,2012,68,870,12.79,8,Receiving
Jeremy Johnson,SMU,2012,67,679,10.13,3,Receiving
Jaime Wilson,WMU,2012,67,792,11.82,6,Receiving
Keyarris Garrett,TULS,2012,67,845,12.61,9,Receiving
Brandin Cooks,ORST,2012,67,"1,151",17.18,5,Receiving
Wayne Times,FIU,2012,66,602,9.12,2,Receiving
Desmond Scott,DUKE,2012,66,666,10.09,2,Receiving
Matt Miller,BSU,2012,66,769,11.65,5,Receiving
Josh Boyce,TCU,2012,66,891,13.5,7,Receiving
Donte Moncrief,MISS,2012,66,979,14.83,10,Receiving
Alex Neutz,BUFF,2012,65,"1,015",15.62,11,Receiving
Chip Reeves,TROY,2012,65,"1,050",16.15,6,Receiving
Darius Johnson,SMU,2012,64,787,12.3,5,Receiving
Harry Peoples,ULL,2012,64,817,12.77,5,Receiving
Marcus Sales,SYR,2012,64,882,13.78,8,Receiving
Robbie Rouse,FRES,2012,63,435,6.9,2,Receiving
Chris McNeill,WYO,2012,63,722,11.46,5,Receiving
William Dukes,FAU,2012,63,979,15.54,4,Receiving
Jabari Carr,SJSU,2012,62,639,10.31,4,Receiving
Jalen Saunders,OKLA,2012,62,829,13.37,3,Receiving
Je'Ron Hamm,ULM,2012,62,915,14.76,6,Receiving
Mike Shanahan,PITT,2012,62,983,15.85,6,Receiving
J.D. Woods,WVU,2012,61,637,10.44,4,Receiving
Keenan Allen,CAL,2012,61,737,12.08,6,Receiving
Dan Buckner,ARIZ,2012,61,773,12.67,5,Receiving
Quinshad Davis,UNC,2012,61,776,12.72,5,Receiving
Devante Davis,UNLV,2012,61,854,14.0,4,Receiving
Corey Brown,OSU,2012,60,669,11.15,3,Receiving
Mike Scott,IDHO,2012,60,671,11.18,4,Receiving
Richy Turner,NEV,2012,60,752,12.53,3,Receiving
Shaquelle Evans,UCLA,2012,60,877,14.62,3,Receiving
Donte Foster,OHIO,2012,59,659,11.17,8,Receiving
Deion Walker,MASS,2012,59,667,11.31,3,Receiving
Jaxon Shipley,TEX,2012,59,737,12.49,6,Receiving
Amari Cooper,ALA,2012,59,"1,000",16.95,11,Receiving
Antavian Edison,PUR,2012,58,652,11.24,8,Receiving
Phillip Dorsett,MIA,2012,58,842,14.52,4,Receiving
Chad Bumphis,MSST,2012,58,922,15.9,12,Receiving
Zane Fakes,BALL,2012,57,461,8.09,5,Receiving
Aaron Dobson,MRSH,2012,57,679,11.91,3,Receiving
Christopher Coyle,AZST,2012,57,696,12.21,5,Receiving
Sammy Watkins,CLEM,2012,57,708,12.42,3,Receiving
Rashad Greene,FSU,2012,57,741,13.0,6,Receiving
Jordan Taylor,RICE,2012,57,826,14.49,3,Receiving
Chris Harper,KSST,2012,57,848,14.88,3,Receiving
Isaiah Burse,FRES,2012,57,851,14.93,6,Receiving
Dawan Scott,MIOH,2012,57,851,14.93,7,Receiving
Mike Davis,TEX,2012,57,939,16.47,7,Receiving
O.J. Ross,PUR,2012,56,454,8.11,2,Receiving
Jarvis Landry,LSU,2012,56,573,10.23,5,Receiving
Tavarese Maye,ULM,2012,56,612,10.93,4,Receiving
